"SL No","Question Name","Rating","Tag","URL","Solved"
"382","Frog Position After T Seconds","3","Hard","https://leetcode.com/problems/frog-position-after-t-seconds/","No"
"383","Time Needed to Inform All Employees","2","Medium","https://leetcode.com/problems/time-needed-to-inform-all-employees/","No"
"384","Bulb Switcher III","2","Medium","https://leetcode.com/problems/bulb-switcher-iii/","No"
"385","Generate a String With Characters That Have Odd Counts","1","Easy","https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/","No"
"386","Pizza With 3n Slices","3","Hard","https://leetcode.com/problems/pizza-with-3n-slices/","No"
"387","Sort Integers by The Power Value","2","Medium","https://leetcode.com/problems/sort-integers-by-the-power-value/","No"
"388","Cinema Seat Allocation","2","Medium","https://leetcode.com/problems/cinema-seat-allocation/","No"
"389","Find the Distance Value Between Two Arrays","1","Easy","https://leetcode.com/problems/find-the-distance-value-between-two-arrays/","No"
"390","Minimum Cost to Make at Least One Valid Path in a Grid","3","Hard","https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid/","No"
"391","Linked List in Binary Tree","2","Medium","https://leetcode.com/problems/linked-list-in-binary-tree/","No"
"392","Rank Teams by Votes","2","Medium","https://leetcode.com/problems/rank-teams-by-votes/","No"
"393","How Many Numbers Are Smaller Than the Current Number","1","Easy","https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number/","No"
"394","Construct Target Array With Multiple Sums","3","Hard","https://leetcode.com/problems/construct-target-array-with-multiple-sums/","No"
"395","Maximum Number of Events That Can Be Attended","2","Medium","https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/","No"
"396","Product of the Last K Numbers","2","Medium","https://leetcode.com/problems/product-of-the-last-k-numbers/","No"
"397","Count Negative Numbers in a Sorted Matrix","1","Easy","https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/","No"
"398","Maximum Sum BST in Binary Tree","3","Hard","https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/","No"
"399","Longest ZigZag Path in a Binary Tree","2","Medium","https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree/","No"
"400","Find the Longest Substring Containing Vowels in Even Counts","2","Medium","https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts/","No"
"401","Increasing Decreasing String","1","Easy","https://leetcode.com/problems/increasing-decreasing-string/","No"
"402","Maximum Students Taking Exam","3","Hard","https://leetcode.com/problems/maximum-students-taking-exam/","No"
"403","Tweet Counts Per Frequency","2","Medium","https://leetcode.com/problems/tweet-counts-per-frequency/","No"
"404","Minimum Number of Steps to Make Two Strings Anagram","2","Medium","https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/","Yes"
"405","Check If N and Its Double Exist","1","Easy","https://leetcode.com/problems/check-if-n-and-its-double-exist/","No"
"406","Jump Game V","3","Hard","https://leetcode.com/problems/jump-game-v/","No"
"407","Maximum Product of Splitted Binary Tree","2","Medium","https://leetcode.com/problems/maximum-product-of-splitted-binary-tree/","No"
"408","Reduce Array Size to The Half","2","Medium","https://leetcode.com/problems/reduce-array-size-to-the-half/","Yes"
"409","The K Weakest Rows in a Matrix","1","Easy","https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/","No"
"410","Count All Valid Pickup and Delivery Options","3","Hard","https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options/","No"
"411","Number of Substrings Containing All Three Characters","2","Medium","https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/","No"
"412","Apply Discount Every n Orders","2","Medium","https://leetcode.com/problems/apply-discount-every-n-orders/","No"
"413","Sort Integers by The Number of 1 Bits","1","Easy","https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits/","No"
"414","Minimum Difficulty of a Job Schedule","3","Hard","https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule/","No"
"415","Find the City With the Smallest Number of Neighbors at a Threshold Distance","2","Medium","https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/","No"
"416","Filter Restaurants by Vegan-Friendly, Price and Distance","2","Medium","https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance/","Yes"
"417","Remove Palindromic Subsequences","1","Easy","https://leetcode.com/problems/remove-palindromic-subsequences/","Yes"
